,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT,Columna1
2444,1.0,970.0,155.2,0.0,0.0,1125.2,1125.2,0.0
2445,1.0,27.89,4.46,0.0,0.0,32.35,32.35,0.0
2446,1.0,53.9,8.63,0.0,0.0,62.53,62.53,0.0
2447,1.0,496.0,79.36,0.0,0.0,575.36,575.36,0.0
2448,1.0,1784.07,285.45,0.0,107.04,1962.48,1962.48,0.0
2449,1.0,0.0,0.0,0.0,0.0,0.0,1390.9,1390.9
2450,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2453,1.0,1440.0,230.4,0.0,0.0,1670.4,1670.4,0.0
2454,1.0,452.4,72.38,0.0,0.0,524.78,524.78,0.0
2455,1.0,10363.93,1658.23,0.0,0.0,12022.16,12022.16,0.0
2456,1.0,4323.6,691.78,0.0,0.0,5015.38,5015.38,0.0
2457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2458,1.0,71.9,0.0,0.0,0.0,0.0,265.0,265.0
2459,1.0,71.9,11.5,0.0,0.0,83.4,83.4,0.0
2460,1.0,560.0,89.6,0.0,0.0,649.6,649.6,0.0
2461,1.0,420.0,67.2,0.0,0.0,487.2,487.2,0.0
2462,1.0,9900.0,1584.0,0.0,0.0,11484.0,11484.0,0.0
2463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2464,1.0,3528.86,564.62,0.0,0.0,4093.48,4093.48,0.0
2465,1.0,264.6,42.34,0.0,0.0,306.94000000000005,306.94,0.0
2466,1.0,1617.72,258.84,0.0,0.0,1876.56,1876.56,0.0
2467,1.0,453.0,72.48,0.0,0.0,525.48,525.48,0.0
2468,1.0,10300.0,48.0,0.0,0.0,10348.0,10348.0,0.0
2469,1.0,3299.5,527.92,0.0,0.0,3827.42,3827.42,0.0
2470,1.0,2560.71,409.73,0.0,0.0,2970.44,2970.44,0.0
2471,1.0,-4113.83,-658.2,0.0,0.0,-4772.03,-4772.03,0.0
2472,1.0,2100.0,336.0,0.0,0.0,2436.0,2436.0,0.0
2473,1.0,16170.0,2587.2,0.0,0.0,18757.2,18757.2,0.0
2474,1.0,5390.0,862.4,0.0,0.0,6252.4,6252.4,0.0
2475,1.0,189.02,30.24,0.0,0.0,219.26000000000002,219.26,0.0
2476,1.0,4086.0,653.76,0.0,0.0,4739.76,4739.76,0.0
2477,1.0,1336.21,213.79,0.0,0.0,1550.0,1550.0,0.0
2478,1.0,2937.0,469.92,0.0,0.0,3406.92,3406.92,0.0
2479,1.0,106.37,17.02,0.0,3.21,120.18,120.18,0.0
2480,1.0,1955.0,312.8,0.0,0.0,2267.8,2267.8,0.0
2481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2482,1.0,1522.0,243.52,0.0,0.0,1765.52,1765.52,0.0
2483,1.0,15000.0,2400.0,0.0,0.0,17400.0,17400.0,0.0
2484,1.0,0.85,0.14,0.0,0.0,0.99,0.99,0.0
2485,1.0,2429.7998379541914,4800.0,3.4901957241794643,24.141777845777234,2723.456093561184,28600.0,0.0
2486,1.0,173.57,27.77,0.0,0.0,201.34,201.34,0.0
2487,1.0,523.95,83.83,0.0,0.0,607.7800000000001,607.78,0.0
2488,1.0,4792.05,25.92,0.0,0.0,4817.97,4817.97,0.0
2489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2490,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2491,1.0,0.01,0.0,0.0,0.0,0.01,0.0,-0.01
2492,1.0,18079.2,0.0,0.0,0.0,18079.2,18079.2,0.0
2493,1.0,11575.0,1852.0,0.0,0.0,13427.0,13427.0,0.0
2494,1.0,144.83,23.17,0.0,0.0,168.0,168.0,0.0
2495,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6,0.0
2496,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3,0.0
2497,1.0,6091.86,974.7,0.0,365.51,6701.049999999999,6701.05,0.0
2498,1.0,103.94,16.63,0.0,0.0,120.57,120.57,0.0
2499,1.0,13901.5,2224.24,0.0,834.09,15291.65,15291.65,0.0
2500,1.0,2250.0,360.0,0.0,0.0,2610.0,2610.0,0.0
2501,1.0,1500.0,240.0,0.0,0.0,1740.0,1740.0,0.0
2502,1.0,257.76,41.24,0.0,0.0,299.0,299.0,0.0
2503,1.0,243.3,38.93,0.0,0.0,282.23,282.23,0.0
2504,1.0,3012.98,482.07,0.0,8.01,3487.04,3487.04,0.0
2505,1.0,270.11,43.22,0.0,0.0,313.33000000000004,313.33,0.0
2506,1.0,18401.53,2944.24,0.0,24.141777845777234,20241.679999999997,20241.68,0.0
2507,1.0,5950.08,952.01,0.0,0.0,6902.09,6902.09,0.0
2508,1.0,490.0,78.4,0.0,0.0,568.4,568.4,0.0
2509,1.0,5038.89,806.22,0.0,0.0,5845.110000000001,5845.11,0.0
2510,1.0,144.0,0.0,0.0,0.0,0.0,2955.75,2955.75
2511,1.0,144.0,0.0,0.0,0.0,144.0,144.0,0.0
